Gene.symbol	Gene.ID	adj.P.Val	logFC
MPO	4353	3.61781344674199e-19	5.56350115651021
FLT3	2322	4.83571557426423e-19	5.2500645271644
KIAA0101	9768	6.30816005381361e-19	4.55913523978118
BUB1B	701	1.66404320184616e-18	2.75655355297846
SUCNR1	56670	1.93857268145515e-18	2.99681551599093
MCM10	55388	3.71213666952313e-18	2.31884765424603
TPX2	22974	4.69552919298598e-18	3.15641491614172
CIT	11113	1.14794610995488e-17	2.37075070203741
CDC45	8318	1.65866463412725e-17	2.28750067397506
IQGAP3	128239	1.77553965334511e-17	1.66969735012925
POLQ	10721	1.77553965334511e-17	2.09197758109184
CPXM1	56265	6.59236540681646e-17	3.77695351746145
STK38	11329	7.22846118132058e-17	-1.8804326870068
ANLN	54443	7.50468496299332e-17	2.64104618221088
PRC1	9055	7.50468496299332e-17	3.0800967854263
MELK	9833	1.35263969928417e-16	2.29731792385714
TOP2A	7153	1.7319446378169e-16	3.29810352836282
NCAPG	64151	2.37600560889478e-16	3.22796342043764
CBX7	23492	4.52689592358881e-16	-2.24007964966893
KIF23	9493	4.59347924168233e-16	2.82172753519388
TYMS	7298	5.46160241575207e-16	3.67035228143311
KIT	3815	7.79374037619323e-16	4.86400851021202
ECRP///ECRP	643332///643332	7.88557587748143e-16	4.55318219877211
DTL	51514	7.98952126104647e-16	3.67921774278912
PLCL2	23228	7.98952126104647e-16	-1.89971809574036
CDT1	81620	8.59049950225188e-16	1.71491252610091
KIF14	9928	1.19628115231684e-15	2.19593366886508
PECR	55825	1.65214459104176e-15	-2.16251306721542
DIAPH3	81624	2.07208874427226e-15	1.91092967643311
NRG4	145957	2.33222629471214e-15	3.4068875179161
CDC25A	993	2.95877390100045e-15	1.79713843244785
CENPI	2491	3.39242148650163e-15	2.24023758153968
MRC1	4360	3.39242148650163e-15	3.04859703215193
EXO1	9156	5.54188117708548e-15	2.47469098344444
ORC1	4998	5.96215493515321e-15	1.99692358986621
FANCI	55215	7.91344167439364e-15	2.54306870017461
DEPDC1B	55789	8.08207008157322e-15	2.0924736368254
SPC25	57405	9.15158150236524e-15	2.19639068827098
		1.0894768428063e-14	-1.37559173919161
ASPM	259266	1.12458910811223e-14	2.50196107826077
GOLGA8R///GOLGA8O///GOLGA8N	101059918///728047///643699	1.57775346977854e-14	2.66116588276758
PLTP	5360	1.78721474770283e-14	2.09153848252834
ARHGAP11A	9824	2.02431254996675e-14	3.15486511828005
TNFRSF21	27242	2.10179878627337e-14	2.26066604138889
MCM4	4173	2.10179878627337e-14	2.23452321069842
FOXM1	2305	2.10179878627337e-14	1.94159098212698
KCNK5	8645	2.3162616341626e-14	2.53546041605783
PCNA	5111	2.3803534050848e-14	2.09183679341837
TTK	7272	2.90092900669031e-14	2.23504714605669
CLSPN	63967	3.0165616534924e-14	1.90987652663946
CLSPN///CLSPN	63967///63967	3.46775162650281e-14	2.6115634559093
IGF2BP2	10644	4.20086831589601e-14	3.27423061079705
RAD54L	8438	4.25385218768639e-14	1.36294764787755
KIF11	3832	4.28943099338667e-14	2.59310933700227
TK1	7083	4.28943099338667e-14	1.78384948485034
CENPF	1063	4.28943099338667e-14	2.82096547029252
		4.43493718144477e-14	2.38054530960884
NUF2	83540	4.7763300147498e-14	2.43885440219048
GUCY1A3	2982	4.7763300147498e-14	4.32681910592404
GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP	101059918///728047///653720///653125///653075///653073///653061///643699///390535	4.82121778702968e-14	2.21741409829026
KIF2C	11004	5.49650539021383e-14	1.97681992265306
CTSG	1511	6.01727974915325e-14	3.30185340424943
DEPTOR	64798	6.6747188727105e-14	3.5786581114932
SCCPDH	51097	7.35789695125114e-14	2.83305394852834
KIF20A	10112	7.61889665505358e-14	2.37317675069274
GMNN	51053	1.00377502843192e-13	1.8464840326678
ELANE	1991	1.00908853035318e-13	2.46212724019615
CHEK1	1111	1.01723158585701e-13	2.94682724253968
MCM2	4171	1.13314461225396e-13	1.9862173143288
E2F8	79733	1.26207601314168e-13	1.90107723190249
SLC22A16	85413	1.26207601314168e-13	2.55296814786622
LOC81691	81691	1.59290248812115e-13	2.34238707287642
CDKN2C	1031	1.80784040280162e-13	1.44171884853061
AZU1	566	1.96876862587312e-13	2.40197318979705
KIAA0101	9768	1.97653532520974e-13	1.88401066591383
CCNE2	9134	2.25919128778545e-13	2.36987354354762
HLA-F///HLA-B	3134///3106	3.04684848391623e-13	-2.70225779257937
KIF4A	24137	3.04684848391623e-13	2.26831879373243
CCNB2	9133	3.10727444878534e-13	2.76990424326417
CDK1	983	3.48334973882433e-13	2.22380094475624
CCNA1	8900	3.48334973882433e-13	2.31671020398073
CCNA2	890	3.95749191747638e-13	2.29715325647279
MYB///MYB	4602///4602	3.98123742160146e-13	3.59896533199546
BAHCC1	57597	4.110992949942e-13	1.73834147832313
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	4.13972896909132e-13	2.33229368478231
CCDC169-SOHLH2///CCDC169	100526761///728591	4.13972896909132e-13	2.15551673603742
DLGAP5	9787	4.13972896909132e-13	2.7354726752449
UHRF1	29128	4.7455075970243e-13	1.98998455168708
ERG	2078	5.58321156278411e-13	3.71863879951814
MKI67	4288	5.90248240096241e-13	2.77092991224377
P2RY1	5028	6.72719865524638e-13	1.45152471845125
RAB11FIP4	84440	8.05104618548203e-13	-1.99885479313605
ANKRD44	91526	8.8252348421425e-13	-1.99129396085374
RFX8	731220	9.26109195803351e-13	1.79313764221089
SPAG5	10615	9.35393104481557e-13	2.00879504296032
B4GALT6	9331	9.75922308769482e-13	2.8667426837619
NFIX	4784	9.75922308769482e-13	1.77364145945918
SMC4	10051	1.10014712215241e-12	1.59853086266894
EPDR1	54749	1.21528035363931e-12	2.39016296317574
GRK5	2869	1.21528035363931e-12	-2.29230350931859
COL24A1	255631	1.25719584098025e-12	2.23241663100454
ZWINT	11130	1.31006101050756e-12	1.65462662741723
MINK1	50488	1.38392421550637e-12	-1.40734130251134
FAM46A	55603	1.38392421550637e-12	2.07278087629479
PRSS57	400668	1.60379507404585e-12	2.36865737568594
FADS2	9415	1.61443225949935e-12	3.0180668554127
RAD51	5888	1.70471614394309e-12	1.84846904998753
CENPU	79682	1.78027997515629e-12	2.13654467118594
CDCA5	113130	1.8819358761806e-12	1.34154195079025
SCML2	10389	2.10371832289645e-12	2.73607206330612
TFPI	7035	2.1995674849034e-12	3.73332428403402
HMMR	3161	2.52955584761981e-12	1.78650653243197
TMEM2	23670	2.70935676156109e-12	-1.90829679764626
KIF15	56992	2.74153106304934e-12	1.96828328974604
		2.76352191135286e-12	3.72489085148073
TICRR	90381	3.26278655935929e-12	1.84931753459524
WT1	7490	3.6363105043247e-12	1.93883133012358
CDCA4	55038	3.67479088263843e-12	1.39988151452268
SLC44A2	57153	3.7643245893783e-12	-2.631501501839
TBC1D25	4943	3.93829241240984e-12	-1.14441733064512
STAR	6770	4.23634728575432e-12	1.67213218717574
C11orf74	119710	4.93271534066476e-12	1.78000408065533
PLK4	10733	5.33130307070624e-12	2.43962155542631
ZBP1	81030	6.57681177644866e-12	-2.24400833257823
CDC6	990	6.66543977391957e-12	2.43377175435601
HLA-F///HLA-B	3134///3106	6.66543977391957e-12	-3.5597800243424
SLC7A5	8140	7.77201275007329e-12	1.79378445240249
HJURP	55355	8.02580994227645e-12	1.78662754098526
TAP1	6890	8.02580994227645e-12	-1.80516211883787
TRIP13	9319	8.56974295761738e-12	1.95396211606916
TFRC	7037	8.56974295761738e-12	2.24290492955896
ZNF211	10520	8.86974926597259e-12	-1.29527315306803
RCC1///SNHG3///RCC1	1104///8420///1104	9.23926845831549e-12	1.50094661580272
ZBTB38	253461	9.24908948944124e-12	-1.98596424552608
ESPL1	9700	9.30586064639895e-12	1.41250390977325
PIWIL4	143689	9.34823977237463e-12	2.49464297530159
DNAJB9	4189	9.34823977237463e-12	-1.56944859845124
BRCA2	675	1.06048122643637e-11	1.97647687273923
CHAF1A	10036	1.10341530276087e-11	1.34234274213152
CCZ1B///CCZ1	221960///51622	1.12067670300182e-11	-1.63176257154535
GTSE1	51512	1.12067670300182e-11	1.40884696901021
GRIK5	2901	1.1982120827524e-11	1.75391534944105
CDKN1B	1027	1.25159661398227e-11	-1.35645694117687
EMP1	2012	1.39661988033048e-11	3.85759896180386
HBD	3045	1.45103573008763e-11	3.08403686212018
ALDOC	230	1.45103573008763e-11	-1.62344639076757
LIMD2	80774	1.45103573008763e-11	-1.10783981629025
HIST1H1B	3009	1.51415867062398e-11	3.65320296992631
BTN3A1	11119	1.87319477889723e-11	-2.01173447436734
CDCA2	157313	1.93207287934375e-11	2.01385233865873
WT1-AS	51352	1.94490665036092e-11	1.58125443329479
