ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7989647	3.26e-66	1.01e-70	30.346162	150.403255	5.6785597	KIAA0101	KIAA0101
7909568	1.59e-65	9.84e-70	29.869529	148.1613189	4.7861055	DTL	denticleless E3 ubiquitin protein ligase homolog
8019842	1.84e-65	1.70e-69	29.755396	147.6206758	5.0747837	TYMS	thymidylate synthetase
7991406	7.63e-60	9.44e-64	27.094144	134.5862216	3.9789364	PRC1	protein regulator of cytokinesis 1
8122202	6.88e-59	1.06e-62	26.623727	132.1943243	4.3222476	MYB///MYB	MYB proto-oncogene, transcription factor///MYB proto-oncogene, transcription factor
8061579	1.91e-57	3.54e-61	25.952349	128.7335105	4.5737881	TPX2	TPX2, microtubule nucleation factor
8014974	4.08e-56	8.83e-60	25.345049	125.5547305	5.039675	TOP2A	topoisomerase (DNA) II alpha
7937020	5.46e-55	1.35e-58	24.836615	122.8577846	4.389495	MKI67	marker of proliferation Ki-67
7982663	1.17e-54	3.25e-58	24.674223	121.9894996	4.3227699	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
7966878	1.06e-53	3.37e-57	24.244412	119.6751667	3.6280711	CIT	citron rho-interacting serine/threonine kinase
7945014	1.06e-53	3.61e-57	24.232149	119.6087865	3.9772649	CHEK1	checkpoint kinase 1
7913869	1.98e-53	7.37e-57	24.101868	118.9024287	4.0112745	STMN1	stathmin 1
8146357	2.49e-53	1.00e-56	24.045808	118.5978088	3.32942	MCM4	minichromosome maintenance complex component 4
8071212	1.20e-52	5.18e-56	23.747847	116.972005	3.6452264	CDC45	cell division cycle 45
7909708	2.49e-52	1.16e-55	23.602832	116.1766199	4.5485173	CENPF	centromere protein F
8094278	3.11e-52	1.54e-55	23.551286	115.8932427	4.8389341	NCAPG	non-SMC condensin I complex subunit G
8097356	3.73e-52	1.96e-55	23.507826	115.6540598	3.6552738	PLK4	polo like kinase 4
8132318	2.51e-51	1.40e-54	23.156343	113.7107047	3.9828856	ANLN	anillin actin binding protein
8124388	2.81e-51	1.65e-54	23.126115	113.5428323	4.7632384	HIST1H3B	histone cluster 1, H3b
7919614	4.69e-51	3.00e-54	23.020289	112.9541902	3.1130133	HIST2H3D///HIST2H3A///HIST2H3C	histone cluster 2, H3d///histone cluster 2, H3a///histone cluster 2, H3c
7929258	4.69e-51	3.05e-54	23.017398	112.9380866	4.0796259	KIF11	kinesin family member 11
8046488	2.74e-50	1.86e-53	22.696662	111.1451004	3.8848735	CDCA7	cell division cycle associated 7
7921033	8.54e-50	6.07e-53	22.48843	109.9739319	2.3833379	IQGAP3	IQ motif containing GTPase activating protein 3
7985829	2.85e-49	2.11e-52	22.269742	108.7379315	3.6683277	FANCI	Fanconi anemia complementation group I
7926259	3.62e-49	2.82e-52	22.219687	108.4541563	3.6694195	MCM10	minichromosome maintenance 10 replication initiation factor
7906930	3.62e-49	2.92e-52	22.213626	108.4197728	4.0789603	NUF2	NUF2, NDC80 kinetochore complex component
8082350	6.31e-49	5.27e-52	22.110242	107.8325677	2.8151182	MCM2	minichromosome maintenance complex component 2
8013671	8.32e-49	7.21e-52	22.055848	107.5230604	3.4012188	SPAG5	sperm associated antigen 5
8124527	9.76e-49	8.75e-52	22.022017	107.3303682	4.5410457	HIST1H1B	histone cluster 1, H1b
7960340	2.95e-48	2.74e-51	21.824009	106.1996131	3.4080904	FOXM1	forkhead box M1
8017262	1.22e-47	1.17e-50	21.573641	104.7626307	3.5130939	BRIP1	BRCA1 interacting protein C-terminal helicase 1
8102643	1.86e-47	1.84e-50	21.495085	104.3101021	3.6376587	CCNA2	cyclin A2
7982889	3.19e-47	3.26e-50	21.397152	103.7448399	3.7214747	NUSAP1	nucleolar and spindle associated protein 1
7989657	4.43e-47	4.66e-50	21.336014	103.391337	3.0268942	KIAA0101	KIAA0101
8089875	8.15e-47	8.82e-50	21.226657	102.7578321	3.5660159	POLQ	DNA polymerase theta
7923189	8.59e-47	9.56e-50	21.212826	102.677598	3.9071846	KIF14	kinesin family member 14
7982290	1.03e-46	1.17e-49	21.177806	102.4743442	3.149638		
7984540	1.22e-46	1.43e-49	21.143889	102.2773375	4.1752983	KIF23	kinesin family member 23
7982358	1.82e-46	2.20e-49	21.070988	101.8534069	4.0465178	ARHGAP11A	Rho GTPase activating protein 11A
7910997	2.34e-46	2.89e-49	21.024212	101.5810371	4.0164631	EXO1	exonuclease 1
8079237	2.60e-46	3.30e-49	21.001528	101.4488525	3.7449877	KIF15	kinesin family member 15
7971866	3.12e-46	4.06e-49	20.966429	101.2441893	3.5312738	DIAPH3	diaphanous related formin 3
8056572	3.80e-46	5.06e-49	20.929058	101.0261114	3.9715079	SPC25	SPC25, NDC80 kinetochore complex component
8043602	4.62e-46	6.28e-49	20.89219	100.8107897	3.3972985	NCAPH	non-SMC condensin I complex subunit H
7953218	6.03e-46	8.40e-49	20.842927	100.5228101	3.8710045	RAD51AP1	RAD51 associated protein 1
7983969	1.47e-45	2.10e-48	20.688196	99.6162911	4.296151	CCNB2	cyclin B2
7923086	2.08e-45	3.02e-48	20.626351	99.2531166	4.6554564	ASPM	abnormal spindle microtubule assembly
7923753	4.24e-45	6.30e-48	-20.502526	98.5245177	-3.2492305	NUAK2	NUAK family kinase 2
8103932	4.62e-45	7.01e-48	20.484605	98.4189067	2.8281162	CENPU	centromere protein U
8168794	5.15e-45	7.96e-48	20.463124	98.2922658	3.7284049	CENPI	centromere protein I
8151871	5.50e-45	8.68e-48	20.448503	98.2060334	3.2431122	CCNE2	cyclin E2
8054580	6.06e-45	9.74e-48	20.42915	98.0918535	4.1402384	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
7979307	8.38e-45	1.37e-47	20.371419	97.7509669	4.60124	DLGAP5	DLG associated protein 5
8024900	1.41e-44	2.36e-47	20.280599	97.213848	3.6303303	UHRF1	ubiquitin like with PHD and ring finger domains 1
8144036	1.67e-44	2.84e-47	20.249549	97.0299763	3.741633	XRCC2	X-ray repair cross complementing 2
8059838	2.59e-44	4.49e-47	20.172934	96.5757686	3.1895993	HJURP	Holliday junction recognition protein
8076185	2.68e-44	4.73e-47	-20.16435	96.5248347	-1.9918469	CBX7	chromobox 7
8086880	3.66e-44	6.57e-47	20.109311	96.1980232	3.1439885	CDC25A	cell division cycle 25A
7982792	6.37e-44	1.16e-46	20.014187	95.6323125	3.2160172	RAD51	RAD51 recombinase
